title,publishedAt,viewCount,likeCount,commentCount
[ゆっくり実況]１００%避けられない完璧なボム設置がこちら[マリオカート8DX],2022-06-17T09:37:24Z,18853,455,133
[シャドウバース]全体4ダメージ飛ばしながら16点疾走！！カゲミツOTK！[ゆっくり実況],2022-01-20T10:25:35Z,68814,927,176
[シャドウバース]１コストでイクシードブラストを連打してOTK！！5連イクシードブラストOTK！[ゆっくり実況],2021-04-07T10:00:03Z,124031,937,280
[シャドウバース]アンリミの秘術ウィッチが強いって、スペリオルコントラクター単体OTKが強いって意味だよな？[ゆっくり実況],2021-12-03T09:30:01Z,76766,1098,208
[シャドウバース]0コスト3ダメージのぶっ壊れスペルを量産！！テラーナイトOTK！[ゆっくり実況],2021-12-10T10:50:01Z,91261,1155,207
[シャドウバース]鳳凰の庭園で実質0コスト疾走と化したブルータルドラゴニュートOTK[ゆっくり実況],2021-11-22T11:12:55Z,63797,975,222
[シャドウバース]フォロワー破壊しながら20点疾走！アイヴィーキングOTK！[ゆっくり実況],2021-12-07T11:02:45Z,80249,1004,192
[シャドウバース]ワールドブレイクで破壊した疾走を使い回し！！クロノウィッチOTK！[ゆっくり実況],2021-10-16T11:23:50Z,75562,978,187
[シャドウバース]ミントが大活躍！5連アイシャOTK！[ゆっくり実況],2019-11-04T12:33:28Z,84582,1399,272
[シャドウバース]相手依存なしの10体バウンス！ヴォジャノ沼のヌシOTK！[ゆっくり実況],2019-05-23T11:03:46Z,79121,816,262
[シャドウバース]１ターンにリントヴルム２体降臨！！ダブルリントOTK！[ゆっくり実況],2020-12-05T10:10:06Z,63716,870,212
[シャドウバース]僕が考えた最強のネクロインパルス！！ネクロアサシン直々ネクロインパルスOTK！[ゆっくり実況],2020-11-13T09:45:29Z,81620,915,170
[シャドウバース]崇拝エイラとの相性抜群！！ユピテルOTK！[ゆっくり実況],2021-12-18T11:28:24Z,54976,836,177
[シャドウバース]エイラ分身で攻撃力１９のムニャール！６ターンムニャール単体OTK！[ゆっくり実況],2020-09-08T09:30:01Z,53748,865,197
[シャドウバース]守護とドローを兼ね備えたベルエンジェル冥府こそ最強[ゆっくり実況],2018-11-11T10:00:57Z,52735,410,50
【ゆっくり実況】何でキラーがショートカットにいるんですか？【マリオカート8DX】,2022-06-23T10:32:36Z,18286,445,145
[シャドウバース]進化するだけで20ダメージ！！4連ピアシィOTK！[ゆっくり実況],2022-01-12T11:32:38Z,131016,1496,259
